,T_cell/Naive,T_cell/Naive,T_cell/Naive,T_cell/Naive,T_cell/Naive,T_cell/Naive,T_cell/Naive,Monocyte,Monocyte,Monocyte,Monocyte,Monocyte,Monocyte,T_cell/_t_helper,T_cell/_t_helper,T_cell/_t_helper,T_cell/_t_helper,T_cell/_t_helper,T_cell/Memory,T_cell/Memory,T_cell/Memory,T_cell/Memory,T_cell/Regulatory,T_cell/Regulatory,T_cell/Regulatory,Nk_cell,Nk_cell,B_cells
,Monocyte,T_cell/_t_helper,T_cell/Memory,T_cell/Regulatory,Nk_cell,B_cells,T_cell/Cytotoxic,T_cell/_t_helper,T_cell/Memory,T_cell/Regulatory,Nk_cell,B_cells,T_cell/Cytotoxic,T_cell/Memory,T_cell/Regulatory,Nk_cell,B_cells,T_cell/Cytotoxic,T_cell/Regulatory,Nk_cell,B_cells,T_cell/Cytotoxic,Nk_cell,B_cells,T_cell/Cytotoxic,B_cells,T_cell/Cytotoxic,T_cell/Cytotoxic
0,RPL5,GYPC,GYPC,NOSIP,LTB,LDHB,ARPC3,S100A9,S100A9,S100A9,S100A9,S100A9,S100A9,LCK,GIMAP7,LTB,ACTG1,CNBP,C19ORF43,LTB,S100A4,ARPC3,LTB,ACTG1,CNBP,GNLY,GNLY,CD74
1,BTG1,PPIA,PPIA,CD7,LDHB,ACTG1,TRAF3IP3,S100A8,S100A8,S100A8,S100A8,S100A8,S100A8,GIMAP7,HINT1,EEF2,LDHB,HMGB1,TMA7,CD52,IL32,S100A11,IL32,IL32,CCNI,NKG7,NKG7,HLA-DRA
2,LTB,ARPC3,SRSF5,EDF1,CD52,NOSIP,ZFP36L2,HLA-DRB1,HLA-DRB1,HLA-DRB1,HLA-DRB1,S100A4,HLA-DRB1,CNBP,NOSIP,LDHB,VIM,ENO1,HINT1,IL32,S100A6,LY6E,CD52,LDHB,ARPC3,HCST,TYROBP,HLA-DRB1
3,ARHGDIB,TRAF3IP3,CD7,GIMAP7,EEF2,CD3E,HMGN1,TYROBP,TYROBP,TYROBP,CST3,S100A6,TYROBP,CD27,MYL12B,VIM,CD3D,TAGLN2,EDF1,VIM,VIM,GSTK1,LDHB,S100A4,TAGLN2,TYROBP,CST7,HLA-DPB1
4,GLTSCR2,ARPC2,CD27,HINT1,NOSIP,GYPC,SELL,CST3,CST3,CST3,CD74,TYROBP,CST3,EIF3L,EDF1,CD52,HSPA8,HSPA8,MZT2B,LDHB,LDHB,SSR4,EEF2,ITM2B,ERP29,ACTG1,GZMA,HLA-DPA1
5,PABPC1,SNRPD2,TXNIP,SNRPD2,CD3E,AES,LAT,CD74,CD74,CD74,LYZ,CST3,CD74,EVL,EIF3H,CD3D,ITM2B,IL2RG,NOSIP,S100A10,S100A10,LSP1,CD3E,CD3E,KLF2,CST7,FCER1G,CD79A
6,EEF1B2,ZFP36L2,LCK,C6ORF48,GYPC,CD7,CCNI,LYZ,LYZ,LYZ,AIF1,LYZ,LYZ,TXNIP,IL2RG,HSPA8,CD3E,ST13,HCST,CD3D,ACTG1,PSMA7,S100A10,CNBP,EIF3E,GZMA,CCL5,CD79B
7,LDHB,C6ORF48,EVL,EIF3H,AES,CD3D,HSPA8,AIF1,AIF1,AIF1,GPX1,AIF1,AIF1,SRSF5,TMA7,CD3E,EMP3,EIF4A1,MYL12B,EEF2,CD3D,PRR13,VIM,RAC2,LSP1,FCER1G,GZMB,HLA-DRB5
